,Unnamed: 0,Submission ID,Title,Acceptance Status,Track,Authors,Main Contact Affiliation,Submission Type,ARRLink,sha1,url
629,629,1864,Maieutic Prompting: Logically Consistent Reasoning with Recursive Explanations,Accept-Oral,Commonsense Reasoning,"Jaehun Jung, Lianhui Qin, Sean Welleck, Faeze Brahman, Chandra Bhagavatula, Ronan Le Bras and Yejin Choi",University of Washington,Regular Long Paper,,50b0c6ee2b3d53ba5af69d6c00b5d60888a9026f,https://www.semanticscholar.org/reader/50b0c6ee2b3d53ba5af69d6c00b5d60888a9026f?experiments=&features=reader_skimming%3Atrue
630,630,1932,DANLI: Deliberative Agent for Following Natural Language Instructions,Accept-Oral,"Speech, Vision, Robotics, Multimodal Grounding","Yichi Zhang, Jianing Yang, Jiayi Pan, Shane Storks, Nikhil Devraj, Ziqiao Ma, Keunwoo Peter Yu, Yuwei Bao and Joyce Chai",University of Michigan,Regular Long Paper,,fc5631cdd08722f51e0ce4b718de0f081ae73603,https://www.semanticscholar.org/reader/fc5631cdd08722f51e0ce4b718de0f081ae73603?experiments=&features=reader_skimming%3Atrue
632,632,1945,Fine-grained Category Discovery under Coarse-grained supervision with Hierarchical Weighted Self-contrastive Learning,Accept-Oral,Unsupervised and Weakly-Supervised Methods in NLP,"Wenbin An, Feng Tian, Ping Chen, Siliang Tang, Qinghua Zheng and QianYing Wang",Xi’an Jiaotong University,Regular Long Paper,,d078a0fb395c4c964123790873c8c748a2a73463,https://www.semanticscholar.org/reader/d078a0fb395c4c964123790873c8c748a2a73463?experiments=&features=reader_skimming%3Atrue
635,635,2082,How well can Text-to-Image Generative Models understand Ethical Natural Language Interventions?,Accept-Oral,"Ethic Concerns:Speech, Vision, Robotics, Multimodal Grounding","Hritik Bansal, Da Yin, Masoud Monajatipoor and Kai-Wei Chang",University of California Los Angeles,Regular Short Paper,,23c818b5df6a2c8f8837f0e69741164f01946fef,https://www.semanticscholar.org/reader/23c818b5df6a2c8f8837f0e69741164f01946fef?experiments=&features=reader_skimming%3Atrue
636,636,2132,Geographic Citation Gaps in NLP Research,Accept-Oral,Theme Track,"Mukund Rungta, Janvijay Singh, Saif M. Mohammad and Diyi Yang",Georgia Institute of Technology,Regular Long Paper,,6f8ab0fa15c87cee55b2ca5b8877e6784887ddbf,https://www.semanticscholar.org/reader/6f8ab0fa15c87cee55b2ca5b8877e6784887ddbf?experiments=&features=reader_skimming%3Atrue
637,637,2133,Language Models of Code are Few-Shot Commonsense Learners,Accept-Oral,Commonsense Reasoning,"Aman Madaan, Shuyan Zhou, Uri Alon, Yiming Yang and Graham Neubig",Carnegie Mellon University,Regular Long Paper,,14846d42a6ef7f37dd6c644aa8ea98ae582bc034,https://www.semanticscholar.org/reader/14846d42a6ef7f37dd6c644aa8ea98ae582bc034?experiments=&features=reader_skimming%3Atrue
638,638,2172,Numerical Optimizations for Weighted Low-rank Estimation on Language Models,Accept-Oral,Machine Learning for NLP,"Ting Hua, Yen-Chang Hsu, Felicity Wang, Qian Lou, Yilin Shen and Hongxia Jin",Samsung Research America,Regular Long Paper,,294c3cbddbe827d4e2fd2084787502e2cf9f9e2d,https://www.semanticscholar.org/reader/294c3cbddbe827d4e2fd2084787502e2cf9f9e2d?experiments=&features=reader_skimming%3Atrue
639,639,2196,Generative Multi-hop Retrieval,Accept-Oral,Information Retrieval and Text Mining,"Hyunji Lee, Sohee Yang, Hanseok Oh and Minjoon Seo",Korea Advanced Institute of Science and Technology,Regular Long Paper,,5e793ce1e3003cd42144e45b7d8db06a60b58ca2,https://www.semanticscholar.org/reader/5e793ce1e3003cd42144e45b7d8db06a60b58ca2?experiments=&features=reader_skimming%3Atrue
640,640,2204,Visual Spatial Description: Controlled Spatial-Oriented Image-to-Text Generation,Accept-Oral,Natural Language Generation,"Yu Zhao, Jianguo Wei, ZhiChao Lin, Yueheng Sun, Meishan Zhang and Min Zhang",Tianjin University,Regular Long Paper,,0b574244f2ecea75a536106789f08d3c3c2590e0,https://www.semanticscholar.org/reader/0b574244f2ecea75a536106789f08d3c3c2590e0?experiments=&features=reader_skimming%3Atrue
644,644,2260,On the Transformation of Latent Space in Fine-Tuned NLP Models,Accept-Oral,"Interpretability, Interactivity and Analysis of Models for NLP","Nadir Durrani, Hassan Sajjad, Fahim Dalvi and Firoj Alam",QCRI,Regular Long Paper,,94d931a253fb44b9d2f93d9287aec1bf8bdf0a4b,https://www.semanticscholar.org/reader/94d931a253fb44b9d2f93d9287aec1bf8bdf0a4b?experiments=&features=reader_skimming%3Atrue
